uid,text,type,type,readability,Analytic,adj,Affect
1,"""I recently stayed at the Hilton in Chicago for a business trip and was blown away by the level of service and comfort provided. The room was spacious, clean, and well-appointed, and the staff were incredibly friendly and accommodating. The location was also great, with easy access to all the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,51.798125,84.5,7.94,7.94
2,"""I had a wonderful experience at the Hilton in Chicago. The hotel was well-maintained and the staff were very accommodating and helpful. The room was clean and comfortable, and the bed was one of the most comfortable I've ever slept on. I also appreciated the hotel's convenient location, as it was close to many popular attractions. I would definitely stay here again.""",chatGPT,chatGPT,53.046,46.42,14.52,9.68
3,"""I recently stayed at the Hilton in Chicago and was extremely impressed by the level of service and comfort provided. The staff were friendly and accommodating, and the room was clean and well-appointed. The hotel's location was also great, as it was close to many popular attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,50.631293,57.59,12.28,10.53
4,"""I had an amazing experience at the Hilton in Chicago. The staff were incredibly friendly and helpful, and the room was clean and comfortable. The hotel's location was also great, as it was close to many popular attractions. I would definitely stay here again.""",chatGPT,chatGPT,55.310909,32.02,15.91,13.64
5,"""The Hilton in Chicago exceeded all of my expectations. The staff were friendly and accommodating, the room was clean and comfortable, and the hotel's location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,40.27065,81.21,9.76,12.2
6,"""I recently stayed at the Hilton in Chicago and was very impressed by the level of service and comfort provided. The staff were incredibly friendly and helpful, and the room was clean and well-appointed. The hotel's location was also great, as it was close to many popular attractions. I would definitely stay here again.""",chatGPT,chatGPT,59.056932,38.62,12.96,11.11
7,"""I had a wonderful experience at the Hilton in Chicago. The staff were very friendly and helpful, and the room was clean and comfortable. The hotel's location was also great, as it was close to many popular attractions. I would definitely recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,48.3675,43.4,16.67,14.58
8,"""The Hilton in Chicago exceeded all of my expectations. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,46.460894,81.21,9.76,14.63
9,"""I recently stayed at the Hilton in Chicago and was extremely impressed by the level of service and comfort provided. The staff were incredibly friendly and helpful, and the room was clean and well-appointed. The hotel's location was also great, as it was close to many popular attractions. I would definitely stay here again.""",chatGPT,chatGPT,57.51875,38.62,12.96,11.11
10,"""I had a fantastic experience at the Hilton in Chicago. The staff were friendly and helpful, and the room was clean and comfortable. The hotel's location was also great, as it was close to many popular attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,52.70875,55.01,17.02,14.89
